ID,ANC_M,HANDSET,STATUT,CLASSE_CANAL,TARGET,FLAG_CHURN,SCORE_FORFAIT,PRED_FORFAIT,SEGMENT_FORFAIT,SCORE_CHURN,PRED_CHURN,RISQUE_CHURN,ACTION_RECOMMANDEE
C33315911,30,4G,A,Reseau indirect,0,0,0.62056917,1,Cible Potentielle,0.012400854,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C67725870,31,4G,A,Reseau indirect,0,0,0.62056917,1,Cible Potentielle,0.012400854,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C91545888,31,4G,A,Reseau indirect,1,0,0.62056917,1,Cible Potentielle,0.012400854,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C56896641,6,4G,A,Reseau direct,0,0,0.6205638,1,Cible Potentielle,0.02001274,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C09296644,6,4G,A,Reseau direct,1,0,0.6205638,1,Cible Potentielle,0.02001274,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C7812_647,267,5G,A,,0,0,0.6205632,1,Cible Potentielle,0.008406691,0,Risque Faible,NURTURING — pack Combo Voix+Data
C6257_474,246,4G,A,,0,0,0.62055546,1,Cible Potentielle,0.008074662,0,Risque Faible,NURTURING — pack Combo Voix+Data
C8518_435,250,4G,A,,0,0,0.62055546,1,Cible Potentielle,0.00824135,0,Risque Faible,NURTURING — pack Combo Voix+Data
C09466691,4,2G,A,Reseau indirect,0,0,0.62052864,1,Cible Potentielle,0.03429657,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C34425821,32,4G,A,Reseau indirect,0,0,0.6205147,1,Cible Potentielle,0.013604873,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C77856700,3,2G,A,Reseau indirect,0,0,0.6205003,1,Cible Potentielle,0.04505233,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C42885018,53,4G,A,Reseau direct,0,0,0.6204285,1,Cible Potentielle,0.011520882,0,Risque Faible,NURTURING — pack Combo Voix+Data
C17334989,54,4G,A,Reseau direct,1,0,0.6204275,1,Cible Potentielle,0.0132277,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C16486510,12,4G,A,Reseau direct,0,0,0.6204116,1,Cible Potentielle,0.037438206,0,Risque Moyen,NURTURING — pack Combo Voix+Data
