ID,ANC_M,HANDSET,STATUT,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,NB_RECH_TOT,MNT_MOY,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,RFM_SCORE_STR,SEGMENT_RFM,TARGET_DATA
C56081230,172,4G,A,Standard,0.0,12.0,361.0,195.0,30.083333333333332,5,3,4,12,534,Clients Fidèles,1
C72331231,167,5G,A,Bonus,0.0,11.0,60.0,12.0,5.454545454545454,5,2,2,9,522,Nouveaux Clients,1
C21091232,169,4G,A,Bonus 1500%,0.0,5.0,26.0,10.0,5.2,5,1,1,7,511,Nouveaux Clients,1
C44011232,157,4G,A,Bonus,0.0,12.0,120.0,24.0,10.0,5,3,2,10,532,Clients Ordinaires,1
C01561238,167,4G,A,Bonus 1000%,0.0,12.0,332.0,184.0,27.666666666666668,5,3,4,12,534,Clients Fidèles,1
C14811238,158,4G,A,Bonus,0.0,12.0,95.0,51.0,7.916666666666667,5,3,2,10,532,Clients Ordinaires,1
C51631238,170,2G,A,Bonus 900%,0.0,12.0,267.0,55.0,22.25,5,3,4,12,534,Clients Fidèles,1
C40021239,170,4G,A,Bonus 1500%,0.0,9.0,165.0,37.0,18.333333333333332,5,2,3,10,523,Nouveaux Clients,1
C94811239,170,4G,A,Bonus,0.0,12.0,165.0,33.0,13.75,5,3,3,11,533,Clients Fidèles,1
C95921239,170,4G,A,Bonus 900%,0.0,12.0,303.0,263.0,25.25,5,3,4,12,534,Clients Fidèles,1
C32871240,170,4G,A,Bonus 1000%,0.0,2.0,10.7,2.0,5.35,5,1,1,7,511,Nouveaux Clients,1
C61361240,166,5G,A,Bonus 900%,0.0,12.0,492.0,100.0,41.0,5,3,5,13,535,Clients Fidèles,0
C99781240,165,2G,A,Bonus 1500%,0.0,12.0,185.0,69.0,15.416666666666666,5,3,3,11,533,Clients Fidèles,1
C1029_124,194,4G,A,Bonus 900%,0.0,12.0,173.0,169.0,14.416666666666666,5,3,3,11,533,Clients Fidèles,1
