ID,ANC_M,HANDSET,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,RFM_SCORE,SEGMENT_RFM,CHURN,SCORE_CHURN,RISQUE_CHURN,ACTION_RETENTION
C90861290,170,4G,Standard,4.0,5.0,25.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C19286081,26,4G,Bonus,4.0,4.0,51.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C04126015,28,2G,Bonus,4.0,2.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C24076489,13,4G,Bonus,3.0,6.0,51.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C92716384,17,2G,Bonus,3.0,1.0,5.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C61136078,26,4G,Bonus,3.0,6.0,60.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C24456490,13,4G,Bonus,3.0,3.0,4.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C4163_584,273,4G,Bonus 1000%,6.0,6.0,17.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C89406492,13,4G,Bonus,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C57554040,77,4G,Bonus 1000%,4.0,8.0,27.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C02525980,29,4G,Standard,3.0,6.0,166.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C70284490,72,4G,Standard,4.0,1.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C65046494,13,4G,Bonus,3.0,1.0,1.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C90872272,128,4G,Bonus,3.0,3.0,40.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C88566076,26,4G,Bonus,3.0,9.0,214.0,6,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C96326495,13,4G,Bonus,3.0,8.0,85.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C30256496,13,4G,Standard,6.0,2.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C93596496,13,4G,Bonus,5.0,7.0,234.0,6,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C11246499,12,4G,Bonus,4.0,6.0,161.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C50614776,60,5G,Standard,3.0,9.0,244.0,7,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C94616501,12,4G,Bonus,3.0,5.0,140.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C98283328,96,4G,Standard,3.0,5.0,21.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C36803493,95,3G,Standard,3.0,3.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C65896502,12,4G,Bonus,3.0,3.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C62326074,26,nan,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C94576502,12,4G,Bonus,3.0,4.0,17.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C63596503,12,4G,Standard,7.0,5.0,116.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C65496505,12,5G,Bonus,3.0,8.0,14.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C72066505,12,2G,Bonus,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C14426507,12,2G,Bonus,7.0,4.0,36.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C54636509,12,4G,Bonus,4.0,7.0,129.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C84796509,12,4G,Bonus,4.0,1.0,5.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C67062273,127,4G,Bonus,3.0,2.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C33756511,12,2G,Standard,3.0,2.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C72835309,45,5G,Bonus,3.0,3.0,20.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C20924752,61,4G,Bonus,6.0,1.0,20.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C71365025,53,4G,Standard,3.0,6.0,358.0,6,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C17253330,97,4G,Bonus,4.0,4.0,21.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C93974883,57,4G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C09275946,29,4G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C88256512,12,5G,Bonus,4.0,1.0,35.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C54413180,106,4G,Bonus,3.0,5.0,180.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C59336515,12,4G,Bonus,5.0,4.0,7.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C70556521,11,4G,Bonus,4.0,6.0,24.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C15375853,32,5G,Bonus,4.0,3.0,52.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C20096523,11,4G,Standard,4.0,1.0,5.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C04381334,165,4G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C37176523,11,4G,Bonus,5.0,3.0,11.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C4128_652,298,5G,Bonus,3.0,6.0,196.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C87966526,11,4G,Bonus,11.0,1.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C87245453,41,5G,Bonus,3.0,4.0,205.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C43584865,58,4G,Bonus 300%,8.0,1.0,5.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C84916527,11,5G,Standard,5.0,3.0,8.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C64586528,11,4G,Bonus,4.0,8.0,17.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C08656530,11,4G,Bonus,4.0,4.0,41.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C48536531,11,4G,Bonus,3.0,6.0,38.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C68866072,26,5G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C48696531,11,2G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C73474717,62,4G,Bonus 300%,4.0,1.0,1.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C16946532,11,3G,Bonus,3.0,7.0,179.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C85506532,11,4G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
